link,headline,category,short_description,authors,date
https://www.huffpost.com/entry/funniest-tweets-cats-dogs-september-17-23_n_632de332e4b0695c1d81dc02,23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23),COMEDY,"""Until you have a dog you don't understand what could be eaten.""",Elyse Wanshel,2022-09-23
https://www.huffpost.com/entry/funniest-tweets-cats-dogs-july-16-22_n_62d5913fe4b092a3f6bf2772,23 Of The Funniest Tweets About Cats And Dogs This Week (July 16-22),COMEDY,"“you ever bring ur pet up to a mirror and ur like ‘that's you’""",Elyse Wanshel,2022-07-22
https://www.huffpost.com/entry/funniest-tweets-cats-dogs-june-18-24_n_62b5d48fe4b0c77098bb5cc6,20 Of The Funniest Tweets About Cats And Dogs This Week (June 18-24),COMEDY,"""Petition to stop ringing the doorbell on TV so my dog can lead a less confusing life""",Elyse Wanshel,2022-06-25
https://www.huffpost.com/entry/seth-meyers-rudy-giuliani-diet-pepsi_n_62aa8553e4b0c77098a98864,Seth Meyers Has A Field Day With Rudy Giuliani's 'Diet Pepsi' Claim,COMEDY,"“Sorry, buddy. You just gave yourself away. No one’s favorite drink is Diet Pepsi,” the ""Late Night"" host said.",Josephine Harvey,2022-06-16
https://www.huffpost.com/entry/funniest-tweets-cats-dogs-june-4-10_n_62a374bfe4b0c77098a025a2,25 Of The Funniest Tweets About Cats And Dogs This Week (June 4-10),COMEDY,"""i keep hearing this ad for fresh cat food that says 'your cute kitty is descended from fierce desert cats' and then i look at my cat and say 'this cat??'""",Elyse Wanshel,2022-06-10
https://www.huffpost.com/entry/rei-workers-berkeley-store-union_n_6307a5f4e4b0f72c09ded80d,REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,BUSINESS,They follow in the footsteps of REI workers in New York City who formed a union earlier this year.,Dave Jamieson,2022-08-25
https://www.huffpost.com/entry/twitter-elon-musk-trial-october_n_62d7c115e4b000da23f9c7df,Twitter Lawyer Calls Elon Musk 'Committed Enemy' As Judge Sets October Trial,BUSINESS,Delaware Chancery Judge Kathaleen McCormick dealt the world's richest person a setback in ordering a speedy trial on his abandoned deal to buy Twitter.,Marita Vlachou,2022-07-20
https://www.huffpost.com/entry/starbucks-leaves-russian-market-shuts-stores_n_628b9804e4b05cfc268f4413,"Starbucks Leaving Russian Market, Shutting 130 Stores",BUSINESS,Starbucks' move follows McDonald's exit from the Russian market last week.,"DEE-ANN DURBIN, AP",2022-05-23
https://www.huffpost.com/entry/coinbase-crypto-slumping_n_627c5582e4b0b74b0e7ed621,Crypto Crash Leaves Trading Platform Coinbase Slumped,BUSINESS,Cryptocurrency trading platform Coinbase has lost half its value in the past week.,"Matt Ott, AP",2022-05-12
https://www.huffpost.com/entry/us-april-jobs-report-2022_n_627517dfe4b009a811c295ec,"US Added 428,000 Jobs In April Despite Surging Inflation",BUSINESS,"At 3.6%, unemployment nearly reached the lowest level in half a century.","Paul Wiseman, AP",2022-05-06
https://www.huffpost.com/entry/dodgers-baseball-obit-wills_n_6329feb3e4b07198f0134500,"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89",SPORTS,"Maury Wills, who helped the Los Angeles Dodgers win three World Series titles with his base-stealing prowess, has died.","Beth Harris, AP",2022-09-20
https://www.huffpost.com/entry/2022-wnba-finals_n_6327f56fe4b0eac9f4e3144d,"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP",SPORTS,Las Vegas never had a professional sports champion — until Sunday.,"Pat Eaton-Robb, AP",2022-09-19
https://www.huffpost.com/entry/boston-marathon-nonbinary-runners_n_631fade4e4b046aa0237a055,Boston Marathon To Make Race More Inclusive For Nonbinary Runners,SPORTS,The race's organizers say nonbinary athletes won't have to register with the men's or women's divisions and provided qualifying times to guide their training.,Sanjana Karanth,2022-09-12
https://www.huffpost.com/entry/anthony-varvaro-dead_n_631f6827e4b027aa405e1899,"Anthony Varvaro, MLB Pitcher Turned Transit Cop, Dies In Crash On Way To 9/11 Ceremony",SPORTS,Varvaro pitched mostly with the Atlanta Braves and started his law enforcement career in 2016.,,2022-09-12
https://www.huffpost.com/entry/carlos-alcaraz-us-open-grand-slam-win_n_631e7452e4b027aa405cf51b,"Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking",SPORTS,Carlos Alcaraz defeated Casper Ruud in the U.S. Open final to earn his first Grand Slam at age 19 and become the youngest man to move up to No. 1 in the rankings.,"HOWARD FENDRICH, AP",2022-09-11
https://www.huffpost.com/entry/honeymoon-destinations-united-states_l_62445c87e4b0e44de9bbfb72,Lovely Honeymoon Destinations In The U.S.,TRAVEL,"Newlyweds don't have to travel too far for a relaxing, scenic vacation.",Caroline Bologna,2022-04-07
https://www.huffpost.com/entry/how-to-make-rainy-vacations-enjoyable_l_61f2070fe4b04f9a12b881c4,How To Salvage Your Vacation If It Rains Most Of The Time,TRAVEL,Travel experts share their advice for finding the bright side of gloomy vacation weather.,Caroline Bologna,2022-02-03
https://www.huffpost.com/entry/airplane-seat-etiquette_l_61b7e8c4e4b0490e9bd740a4,A Definitive Guide To Airplane Seat Etiquette,TRAVEL,"Experts explain what you should know about reclining your seat, sharing armrests and more.",Caroline Bologna,2021-12-16
https://www.huffpost.com/entry/rudest-things-you-can-do-hotel_l_615b23dfe4b050254235fa82,The Rudest Things You Can Do At A Hotel,TRAVEL,"Etiquette experts share faux pas to avoid while staying at a hotel, especially during the pandemic.",Caroline Bologna,2021-10-07
https://www.huffpost.com/entry/passport-renew-wait-time-pandemic_l_61143e13e4b0c2db778c867d,Passport Wait Times Are Awful Right Now. Here's What To Do.,TRAVEL,Experts share their advice for making the passport renewal process less stressful.,Caroline Bologna,2021-08-24
https://www.huffpost.com/entry/oil-gas-coal-reserves-database_n_6327a81ae4b0eac9f4e2fd23,First Public Global Database Of Fossil Fuels Launches,ENVIRONMENT,"On Monday, the world’s first public database of fossil fuel production, reserves and emissions launches.","Drew Costley, AP",2022-09-18
https://www.huffpost.com/entry/bc-us-alaska-coastal-storm_n_6325f39fe4b0eac9f4e25cbc,Alaska Prepares For 'Historic-Level' Storm Barreling Towards Coast,ENVIRONMENT,"“In 10 years, people will be referring to the September 2022 storm as a benchmark storm.”","BECKY BOHRER, MARK THIESSEN and JOHN ANTCZAK, AP",2022-09-17
https://www.huffpost.com/entry/tropical-storm-fiona-puerto-rico_n_6325d372e4b0ed021dfd719c,Puerto Rico Braces For Landslides And Severe Flooding As Tropical Storm Fiona Approaches,ENVIRONMENT,Puerto Rico was under a hurricane watch Saturday as the storm barreled towards the U.S. territory.,"DÁNICA COTO, AP",2022-09-17
https://www.huffpost.com/entry/jackson-water-crisis-privatization_n_6324d6c2e4b0ed021dfd034f,Privatization Isn’t The Answer To Jackson’s Water Crisis,ENVIRONMENT,Studies have repeatedly shown that ending public administration of water supplies doesn’t work — but that’s now on the table in Mississippi.,Nathalie Baptiste,2022-09-17
https://www.huffpost.com/entry/bc-us-california-wildfires_n_631c9b62e4b000d988519ee3,Severe Winds Batter Southern California As Heat Wave Breaks,ENVIRONMENT,"After a 10-day heat wave that nearly overwhelmed the electrical grid, Southern California got cooler weather but also a ferocious tropical storm.","JULIE WATSON and JOHN ANTCZAK, AP",2022-09-10
https://www.huffpost.com/entry/twitch-streamers-threaten-strike-gambling_n_632a72bce4b0cd3ec2628b20,"Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000",TECH,One man's claims that he scammed people on the platform caused several popular streamers to consider a Twitch boycott.,Ben Blanchet,2022-09-21
https://www.huffpost.com/entry/bc-us-tiktok-misinformation_n_6321c9b0e4b027aa40614814,TikTok Search Results Riddled With Misinformation: Report,TECH,A U.S. firm that monitors false online claims reports that searches for information about prominent news topics on TikTok are likely to turn up results riddled with misinformation.,"DAVID KLEPPER, AP",2022-09-14
https://www.huffpost.com/entry/cloudflare-kiwi-farms_n_6315993ae4b0eac9f4ce0ba1,Citing Imminent Danger Cloudflare Drops Hate Site Kiwi Farms,TECH,Cloudflare CEO Matthew Prince had previously resisted calls to block the site.,"The Associated Press, AP",2022-09-05
https://www.huffpost.com/entry/instagram-facebook-remove-posts-offering-abortion-pills_n_62bac62fe4b080fb6709dfbe,Instagram And Facebook Remove Posts Offering Abortion Pills,TECH,"Facebook and Instagram began removing some of these posts, just as millions across the U.S. were searching for clarity around abortion access.","Amanda Seitz, AP",2022-06-28
https://www.huffpost.com/entry/blake-lemoine-lamda-sentient-artificial-intelligence-google_n_62a5613ee4b06169ca8c0a2e,Google Engineer On Leave After He Claims AI Program Has Gone Sentient,TECH,"Artificially intelligent chatbot generator LaMDA wants “to be acknowledged as an employee of Google rather than as property,"" says engineer Blake Lemoine.",Mary Papenfuss,2022-06-12
https://www.huffpost.com/entry/golden-globes-return-nbc_n_6329f151e4b0ed991abda7f3,Golden Globes Returning To NBC In January After Year Off-Air,ENTERTAINMENT,"For the past 18 months, Hollywood has effectively boycotted the Globes after reports that the HFPA’s 87 members of non-American journalists included no Black members.",,2022-09-20
https://www.huffpost.com/entry/james-cameron-fought-studio-avatar_n_63268723e4b046aa02400678,James Cameron Says He 'Clashed' With Studio Before 'Avatar' Release,ENTERTAINMENT,"The ""Avatar"" director said aspects of his 2009 movie are ""still competitive with everything that’s out there these days.""",Ben Blanchet,2022-09-18
https://www.huffpost.com/entry/blade-runner-2099-series-announced_n_63247adfe4b027aa40656cc0,Amazon Greenlights 'Blade Runner 2099' Limited Series Produced By Ridley Scott,ENTERTAINMENT,The director of the original 1982 film joins a writer of the 2017 sequel for the newest installment in the sci-fi franchise.,Marco Margaritoff,2022-09-16
https://www.huffpost.com/entry/the-phantom-of-the-opera-to-close-on-broadway-next-year_n_6324ef40e4b082746bea3ce3,'The Phantom Of The Opera' To Close On Broadway Next Year,ENTERTAINMENT,"“The Phantom of the Opera” — Broadway’s longest-running show — is scheduled to close in February 2023, a victim of post-pandemic softening in theater attendance in New York.","Mark Kennedy, AP",2022-09-16
https://www.huffpost.com/entry/viola-davis-woman-king-heart-attack_n_6322f795e4b000d988585229,Viola Davis Feared A Heart Attack During 'The Woman King' Training,ENTERTAINMENT,The Oscar winner said she worked out for five hours a day for her role in the new action movie.,Marco Margaritoff,2022-09-15
https://www.huffpost.com/entry/biden-us-forces-defend-taiwan-against-china_n_6327ec68e4b0ed021dfe3695,Biden Says U.S. Forces Would Defend Taiwan If China Invaded,POLITICS,President issues vow as tensions with China rise.,,2022-09-19
https://www.huffpost.com/entry/ukraine-festival_n_6327b4a0e4b082746beb52c7,‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year,POLITICS,An annual celebration took on a different feel as Russia's invasion dragged into Day 206.,Jonathan Nicholson,2022-09-19
https://www.huffpost.com/entry/europe-britain-royals-biden_n_63276eabe4b046aa02406a13,Biden Says Queen's Death Left 'Giant Hole' For Royal Family,POLITICS,"U.S. President Joe Biden, in London for the funeral of Queen Elizabeth II, says his heart went out to the royal family, adding the queen’s death left a “giant hole.”.","Darlene Superville, AP",2022-09-18
https://www.huffpost.com/entry/afghan-adjustment-act-congress_n_6324ad6ee4b027aa4065ebef,Bill To Help Afghans Who Escaped Taliban Faces Long Odds In The Senate,POLITICS,Republican outrage over the shoddy U.S. withdrawal from Afghanistan hasn’t spurred support for resettling refugees.,Hamed Ahmadi and Arthur Delaney,2022-09-16
https://www.huffpost.com/entry/capitol-riot-investigation-mark-meadows_n_63235733e4b000d988594a5d,Mark Meadows Complies With Justice Dept. Subpoena: Report,POLITICS,"The former White House chief of staff has turned over records as part of a federal investigation into the Jan. 6, 2021 assault on the Capitol.","ERIC TUCKER, AP",2022-09-15
https://www.huffpost.com/entry/ap-us-jogger-abducted_n_6314aa89e4b0682ad3d1d6ed,Memphis Police: Arrest Made In Jogger's Disappearance,CRIME,Police in Tennessee say an arrest has been made in the disappearance of a woman who was abducted while jogging.,,2022-09-04
https://www.huffpost.com/entry/trump-org-cfo-to-plead-guilty-testify-against-company_n_62fd866ce4b0a85a8198706b,"Trump Org. CFO To Plead Guilty, Testify Against Company",CRIME,Allen Weisselberg is charged with taking more than $1.7 million in off-the-books compensation from the Trump Organization over several years.,"Michael R. Sisak, AP",2022-08-18
https://www.huffpost.com/entry/united-states-missing-girl-new-hampshire_n_62f55349e4b045e6f6abcc27,Officials: NH Missing Girl Case Shifts To Homicide Probe,CRIME,Authorities say the search for a New Hampshire girl who disappeared at age 5 in 2019 but was not reported missing until late last year is now considered a homicide investigation.,"Holly Ramer, AP",2022-08-11
https://www.huffpost.com/entry/albuquerque-volkswagen-suspect-muslim-shootings_n_62f150bde4b0da5ec0f6c579,Albuquerque Police Share Photo Of Car Eyed In Slayings Of Muslim Men,CRIME,Authorities have said that all four of the killings have several things in common and that they are looking to see if any other crimes could be related.,Nina Golgowski,2022-08-08
https://www.huffpost.com/entry/albuquerque-new-mexico-muslim-community-murders_n_62eed8a3e4b09d09a2c46755,Albuquerque Police Tell Muslim Community To Be 'Vigilant' Amid Series Of Murders,CRIME,"Police are searching for the shooter, or shooters, believed to be responsible for a string of murders around the New Mexico city.",Sara Boboltz,2022-08-06
https://www.huffpost.com/entry/how-to-hide-tan-lines_l_62e7edc2e4b09d14dc450969,"How To Hide Even The Worst Tan Lines, According To Makeup Pros",STYLE & BEAUTY,"Quick solutions to fix your farmer’s tan, from body makeup to self tanner.",Julie Kendrick,2022-08-08
https://www.huffpost.com/entry/jello-skin-tiktok_l_62b5bc22e4b04a6173695b03,Jello Skin: The Latest TikTok Skin Care Trend And How To Achieve It,STYLE & BEAUTY,"Jell-O is bouncy, jiggly and always snaps back after the slightest movement. According to the latest TikTok trend, your skin should be the same way.",Rebecca Rovenstine,2022-07-05
https://www.huffpost.com/entry/how-to-treat-bug-bites-dermatologists_l_629e5e54e4b090b53b882a74,How To Treat Bug Bites The Way Dermatologists Do At Home,STYLE & BEAUTY,Here's what to order now so you'll be itch-free all summer.,Julie Kendrick,2022-06-16
https://www.huffpost.com/entry/how-to-prevent-chafing-men_l_629113eae4b05cfc269a1baa,How To Prevent And Treat Summer Chafing For Men,STYLE & BEAUTY,Ditch the discomfort down there with these dermatologist-recommended tips.,Katie McPherson,2022-06-07
https://www.huffpost.com/entry/atypical-mole-dermatologist_l_628671b0e4b0acd09d25dd8d,"If Your Mole Looks Like This, It's Time To See A Dermatologist",STYLE & BEAUTY,Experts explain the signs of melanoma to look out for on your skin.,Kelsey Borresen,2022-05-23
